,nombre,orden,familia,genus,nombre_comun,conservacion,invasivo,taxonConceptID,nombre2,subgenus,taxonRank
153,Coturnix coturnix,Galliformes,Phasianidae,Coturnix,Vagtel,0,0,2474156.0,,,species
154,Gallinago gallinago,Charadriiformes,Scolopacidae,Gallinago,Common Snipe,0,0,2481819.0,,,species
155,Sylvia communis,Passeriformes,Sylviidae,Sylvia,Greater Whitethroat,0,0,2492943.0,,,species
156,Acrocephalus arundinaceus,,,,,1,0,11007527.0,,,species
157,Vanellus vanellus,Charadriiformes,Charadriidae,Vanellus,Northern Lapwing,0,0,2480242.0,,,species
158,Aquila chrysaetos,Accipitriformes,Accipitridae,Aquila,Golden Eagle,1,0,2480506.0,,,species
159,Ixobrychus minutus,Pelecaniformes,Ardeidae,Ixobrychus,Little Bittern,0,0,2480850.0,,,species
160,Podiceps cristatus,Podicipediformes,Podicipedidae,Podiceps,Great Crested Grebe,0,0,2482054.0,,,species
161,Lophophanes cristatus,Passeriformes,Paridae,Lophophanes,Crested Tit,0,0,2487883.0,,,species
162,Sturnus unicolor,Passeriformes,Sturnidae,Sturnus,Spotless Starling,0,0,2489104.0,,,species
163,Phoenicurus phoenicurus,Passeriformes,Muscicapidae,Phoenicurus,Common Redstart,0,0,5739317.0,,,species
164,Strix aluco,Strigiformes,Strigidae,Strix,Tawny Owl,0,0,9282206.0,,,species
165,Arenaria interpres,Charadriiformes,Scolopacidae,Arenaria,Giripitu,1,0,2481776.0,,,species
166,Monticola solitarius,,,Monticola,Blue Rock-Thrush,0,0,2490955.0,,,species
167,Columba junoniae,Columbiformes,Columbidae,Columba,Laurel Pigeon,1,0,2495434.0,,,species
168,Tringa totanus,Charadriiformes,Scolopacidae,Tringa,Common Redshank,0,0,2481714.0,,,species
169,Anthus campestris,Passeriformes,Motacillidae,Anthus,Tawny Pipit,1,0,2490274.0,,,species
170,Circus pygargus,Accipitriformes,Accipitridae,Circus,Montagu's Harrier,1,0,2480495.0,,,species
171,Ardea purpurea,Pelecaniformes,Ardeidae,Ardea,Purple Heron,1,0,2480934.0,,,species
172,Falco subbuteo,Falconiformes,Falconidae,Falco,Lærkefalk,0,0,2481035.0,,,species
173,Regulus regulus,Passeriformes,Regulidae,Regulus,Goldcrest,0,0,2484596.0,,,species
174,Anthus trivialis,Passeriformes,Motacillidae,Anthus,Tree Pipit,1,0,2490246.0,,,species
175,Cyanopica cyanus,Passeriformes,Corvidae,Cyanopica,Azure-Winged Magpie,1,0,7341881.0,,,species
176,Charadrius hiaticula,Charadriiformes,Charadriidae,Charadrius,Common Ringed Plover,1,0,9566659.0,,,species
177,Cyanoliseus patagonus,Psittaciformes,Psittacidae,Cyanoliseus,Burrowing Parakeet / Burrowing Parrot,0,0,2479529.0,,,species
178,Charadrius alexandrinus,Charadriiformes,Charadriidae,Charadrius,Kentish Plover,1,0,2480311.0,,,species
179,Aquila adalberti,Accipitriformes,Accipitridae,Aquila,Spanish Eagle,1,0,2480510.0,,,species
180,Tringa nebularia,Charadriiformes,Scolopacidae,Tringa,Common Greenshank,0,0,2481726.0,,,species
181,Aythya nyroca,Anseriformes,Anatidae,Aythya,Ferruginous Duck,1,0,2498259.0,,,species
182,Philomachus pugnax,Charadriiformes,Scolopacidae,Philomachus,Kemphaan,0,0,5229387.0,,,species
183,Caprimulgus ruficollis,Caprimulgiformes,Caprimulgidae,Caprimulgus,Rødhalset Natravn,1,0,9411857.0,,,species
184,Ardea alba,Pelecaniformes,Ardeidae,Ardea,Great Egret,0,0,9752617.0,Egretta alba,,species
185,Grus grus,Gruiformes,Gruidae,Grus,Common Crane,0,0,2474950.0,,,species
186,Platalea leucorodia,Pelecaniformes,Threskiornithidae,Platalea,Eurasian Spoonbill,0,0,2480801.0,,,species
187,Corvus cornix,Passeriformes,Corvidae,Corvus,Hooded Crow,0,0,2482515.0,,,species
188,Melanocorypha calandra,Passeriformes,Alaudidae,Melanocorypha,Calandra Lark,0,0,2490613.0,,,species
189,Saxicola rubetra,Passeriformes,Muscicapidae,Saxicola,Whinchat,0,0,2492521.0,,,species
190,Acrocephalus schoenobaenus,Passeriformes,Acrocephalidae,Acrocephalus,Sedge Warbler,1,0,2493129.0,,,species
